totalnopforkeyword	keywordname	score	matches	keywordid	exactsuggestedbidmedian	avggiveaway	exactavgcpc	exactsearchvolume	estimatedbroadsearchvolume	keywordcountry	quarterlytrend	estimatedavggiveaway	easeofrankingscore	broadsearchvolume	broadsuggestedbidmedian	keywordcategory	monthlytrend	broadavgcpc	estimatedexactsearchvolume	keyword_url	hasupdatedsearchvolume	hasupdatedcpc	organicproductcount	sponsoredproductcount	im1	im2	im3	im4	im5	im6
8	belly cast kit pregnancy	52.029842	6.4581462321	us/belly cast kit pregnancy	0.67	8.0		8231.0	8544.0	us	16.0	8.0	100.0	8544.0	0.75	Baby	78.0		8231.0	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=belly%20cast%20kit%20pregnancy	True	False	144.0	29.0	"=Image(""https://m.media-amazon.com/images/I/41BxDhNQnaL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://m.media-amazon.com/images/I/71IwBFtQMcL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://m.media-amazon.com/images/I/5118Ta1W2zL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkVI9WtVZRkg2RTqLOawOz766675kdxB1FEuM44gKAVbJY1vOwqOdKQyQehY0&s"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrgW9SdPCf7GPve9HxnuCsMPX-0nW9eEFIo-aBeBox37VYbcu79u-arLjdyBo&s"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkmXd83_bQV1VA8PvjgXkD1Jr64IMgHG_t42ej85xgcW3Un46PFIqxRhVJRg&s"",4,100,122)"
4	botox for face	58.39084	12.2220537938	us/botox for face	1.6400000000000001	234.0	2.62	8218.0	14083.0	us	36.0	234.0	100.0	14083.0	1.49	Beauty & Personal Care	59.0	2.62	8218.0	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=botox%20for%20face	True	True	953.0	0.0	"=Image(""https://m.media-amazon.com/images/I/81cCKM0pl4L._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://m.media-amazon.com/images/I/810BldYJl7L._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://m.media-amazon.com/images/I/516yN4iPdQL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8G38p9AaFIW-50fmRF4BjuCKaT6yAqPOIiBY9dIRdRIyE7U5v10mrnOQU8lI&s"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSICnEQPLYX4RHOK6dCJWfk9VZC4uZKOXe7D45ISFdvP0TNPx_bKTWaWGzMy4&s"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTsiA2oF-n0xJkmPIYsOVu9t35038nMDycWG9OZ5suLVlXkEEjcKCXZPvKPA&s"",4,100,122)"
2	mad hippie vitamin c serum	73.22035	15.3260863604	us/mad hippie vitamin c serum		98.0		8200.0	10858.0	us	111.0	98.0	90.0	10858.0		Beauty & Personal Care	75.0		8200.0	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=mad%20hippie%20vitamin%20c%20serum	True	False	39.0	21.0	"=Image(""https://m.media-amazon.com/images/I/514WaBbU42L._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://m.media-amazon.com/images/I/61Ti2qajlIL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://m.media-amazon.com/images/I/71VBcboPrCL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8svxgBAMp9thg2FOf8MDBZdQRo5XpSdEEe3sKZN9gWAx7NJ5rFF8WwgneSDQ&s"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3bUOoRI-Xn9lHfE6CwfJUvRBp-2aopV5e4tQIxwcoB_ZLJNvHwXGKjzYfTA&s"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLGdmJImKt5GHMqDIqEOPhtThVCTUdQtwMhyzUEwoufKnzIIf1FFPUjvwNr58&s"",4,100,122)"
4	truskin vitamin c serum	110.23894	23.0746167523	us/truskin vitamin c serum	2.61	100.0		7949.0	15543.0	us	-1.0	100.0	95.0	15543.0	1.7000000000000002	Beauty & Personal Care	28.0		7949.0	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=truskin%20vitamin%20c%20serum	True	True	432.0	18.0	"=Image(""https://m.media-amazon.com/images/I/516yN4iPdQL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://m.media-amazon.com/images/I/71F3Oho5XoL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://m.media-amazon.com/images/I/613OCUOPWxL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3ljrVkw42a0dXCI0hT8QEZLd-HxpLGIlqNjVruVe0YyvTehipCpc0GpUN4AI&s"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmea_FsMVzaD3ynZO_aA3cJPqOJQVDtXAf5FI5ifXk1Dff9EGJsn9T-q6VAFo&s"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYBQv3XgYy3jdNmBkc4rstJn3P8Vau2lavORb0sMEDOR_F22HmkLRVSSHQpQ&s"",4,100,122)"
5	door bell ringer wireless	55.920692	31.2635477191	us/door bell ringer wireless	3.4	68.0		7920.0	26427.0	us	100.0	68.0	85.0	26427.0	1.56	Tools & Home Improvement	85.0		7920.0	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=door%20bell%20ringer%20wireless	True	False	611.0	36.0	"=Image(""https://m.media-amazon.com/images/I/61Xz4Htx8jL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://m.media-amazon.com/images/I/61mEM0k9mvL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://m.media-amazon.com/images/I/61yP5CX+Y1L._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJDno_2RN5fGJhmFmdz7E29_3CjHzetxamcdxVbCI19x0iMjBnXpuionEjXg&s"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmLHFHnUNFz6Dz9HLcThIF88hmCVXZJZ6km6MpZE5ovRGTemyAPpkUCWZvgBk&s"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThANLpIKZaSWprWs-lhKs8c4yCcovI2aEcVrJ_YC1L73NFCXm4vLY8UTwqR0k&s"",4,100,122)"
3	plantifique foot peel	60.54692	15.6487977855	us/plantifique foot peel		79.0		7856.0	12358.0	us	-18.0	79.0	100.0	12358.0		Beauty & Personal Care	55.0		7856.0	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=plantifique%20foot%20peel	True	False	65.0	32.0	"=Image(""https://m.media-amazon.com/images/I/71jjK8Wb6QL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://m.media-amazon.com/images/I/71D0jHcne6L._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://m.media-amazon.com/images/I/71XgLMjX5oL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCBxmGAxd1jx4L32mb6nbeChHjGSUZNGgIw1TQqoXIZqEAEH5PixpEm7SqYA&s"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTySU-e4QK75h9lgOz5pPbkzk6ukxCweuVgFFMyltQzxnMsGByhNP0kNhA5nA&s"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcReMTkm7vjLelfpZJdbRY5MSaiFoN21yX4uLbgsuaVAr3k32sw5yCoocxx16g&s"",4,100,122)"
4	ponds cold cream	45.27897	8.2222532138	us/ponds cold cream	0.9400000000000001	29.0		7673.0	11030.0	us	12.0	29.0	95.0	11030.0	0.86	Beauty & Personal Care	36.0		7673.0	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=ponds%20cold%20cream	True	True	188.0	30.0	"=Image(""https://m.media-amazon.com/images/I/41weEROMvPL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://m.media-amazon.com/images/I/71+krKWARdL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://m.media-amazon.com/images/I/616ayu8YE9L._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcScgwExnXhjfRW7hhSMh0-0uz2eWUBGSXg98biLfH34vu4nVMhTIiSzOqCkPUM&s"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6vXk7BkXLavcMBtCyR8Ay4cHSl7_2xvHivxcfh7UH0mt5GIJDTHawdQl_dpI&s"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYQfyoqvHA9UoGPNmxmWExWz9XF1PiuRY1RE8wHhllUYH3lqO15E2A4CJVfXM&s"",4,100,122)"
2	ring doorbell accessories	122.18951	68.3124160313	us/ring doorbell accessories	0.89	22.0		7623.0	10619.0	us	320.0	22.0	100.0	10619.0	0.81	Tools & Home Improvement	33.0		7623.0	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=ring%20doorbell%20accessories	True	True	1000.0	27.0	"=Image(""https://m.media-amazon.com/images/I/71RV128LaGL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://m.media-amazon.com/images/I/71tzjDQVTGL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://m.media-amazon.com/images/I/61Y+2qysmnL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnjezt2ZYKjrtsn46SsVsThpmO0nNh206xdJ4NieN7S_n-_8sMQRaV05KIDA&s"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThvAz7liIWpbCjeUu1Fu9_EoDHlStI_24oUhqLHQ4UZM4Sw0mCVwhbvGZ32NE&s"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR30FoB6bjzByFlAl32MSMVqPRzc7-e3MM57U-I62OGGKE359pxfg07U7HaufU&s"",4,100,122)"
3	ring peephole camera	99.18939	55.453752745	us/ring peephole camera	0.68	92.0		7580.0	10527.0	us	-19.0	92.0	100.0	10527.0	0.7000000000000001	Tools & Home Improvement	2.0		7580.0	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=ring%20peephole%20camera	True	False	88.0	18.0	"=Image(""https://m.media-amazon.com/images/I/41yxkvpFEiL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://m.media-amazon.com/images/I/71yMqy+YI9L._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://m.media-amazon.com/images/I/714im+KNaqL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9CZk2EkHPzCA8ONg6I-_mvBeGRl7EYWmiMRY3FeQGdnQYiVOVE3NpOuAY3aA&s"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSai-N_70yeueXPGtzel5THsgQ9UOWngkOrLPIG8nydmqx8_OlHiXY27LAz728&s"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfyUZZPGbQEZnQee_dneFCxuua5uAaS52-R95OD5TY4NZvml3zhmlEYfkAB7Q&s"",4,100,122)"
4	stealth core trainer	54.124645	11.1012115116	us/stealth core trainer	0.78	21.0	2.03	7392.0	10438.0	us	23.0	21.0	80.0	10438.0	0.78	Sports & Outdoors	-45.0	2.03	7392.0	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=stealth%20core%20trainer	True	True	220.0	9.0	"=Image(""https://m.media-amazon.com/images/I/71+uWG+jeJL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://m.media-amazon.com/images/I/71QJJOCr09L._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://m.media-amazon.com/images/I/71NsaZpLqyL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkZp-zq5wAjaRdFMRKRsk7gIRxHpaGgQoK23ckozBMN1jQd6DgxPbCM4kN8Q&s"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2EZjMxQnpmXowRMHDE5mGVRxsjYfR9gfRsUYKyT61ligPgxAbF5uV8xNtZg&s"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSy_d95CQ-EjWRBTyK761NMi-LvH_hGMhFagKTvF5E6fPaXQxUDQJY5YT5VDg&s"",4,100,122)"
3	condoms 100 pack variety	91.062904	10.7955679122	us/condoms 100 pack variety	0.44	3.0		7310.0	7610.0	us	2121.0	3.0	100.0	7610.0	0.44	Health & Household	38.0		7310.0	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=condoms%20100%20pack%20variety	True	False	145.0	0.0	"=Image(""https://m.media-amazon.com/images/I/81WdJ-WRfsL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://m.media-amazon.com/images/I/91l1Pl3NfEL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://m.media-amazon.com/images/I/81x3FQCoNVL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJ6jfBOCaRL2_u5OfFJGAdhwiw8qxNLGz1NXJ8eaLBGgnXfxA5QrzhKLtvCA&s"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjUIZpq-z0A45Y8gaQPATGCyLauPkEx1s_0DaqAYJ-D-v587QRZrwa8cq9F1w&s"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWjhXm9DduwABDDBVWb9DsSeIYucYfEITr2tzgsN1SAmYi8B83UEvscf4jhw&s"",4,100,122)"
1	bandaids flexible fabric	52.022366	4.8801198943	us/bandaids flexible fabric	1.13	41.0	13.1	7196.0	10174.0	us	21.0	41.0	100.0	10174.0	0.96	Health & Household	23.0	13.1	7196.0	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=bandaids%20flexible%20fabric	True	True	815.0	30.0	"=Image(""https://m.media-amazon.com/images/I/91wvG8mS6KL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://m.media-amazon.com/images/I/814wuzoB-7L._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://m.media-amazon.com/images/I/91MHXXm442L._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuMJyLvlDrNDf8V3ne4_fKAcSqtSCq2Gyn5UWqWlh7OOt3-TtspuNVlKOyng&s"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZa0oSDfVw9jLyoU1hGhwXVY9iYRA-Yx_sEjZ5yoKOp5kDeRjWBhjnEL1Km9o&s"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKD4cW6WIY4TQO5CNxT0KG9pBxk1qbFl9_2bgyG_kKD71eo6xkM9RD2ReGrHg&s"",4,100,122)"
5	weathertech phone holder	67.327415	18.3436727633	us/weathertech phone holder	1.26	84.0		7104.0	12989.0	us	587.0	84.0	100.0	12989.0	1.55	Cell Phones & Accessories	-42.0		7104.0	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=weathertech%20phone%20holder	True	False	151.0	6.0	"=Image(""https://m.media-amazon.com/images/I/616-dpNOCmL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://m.media-amazon.com/images/I/61lxF+3vtZL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://m.media-amazon.com/images/I/61ehCekV6dL._AC_UY218_.jpg"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSOP-Icj48v-7GSsHGDdwAjgY1f4Avk04TBDrPvIyATupMlKSt2vhisvkTqxc&s"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbhlyQIVy1463UVCa4niHff5TAuIzfLQlYlXu7IBhU53JQi1AB75tTJH3NHQ&s"",4,100,122)"	"=Image(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_3MsuNHYYt1Zt3THBDZn_M0-78LTxkdQlkAQvQwy0jS-UKMYBMPF4GXzGGvM&s"",4,100,122)"
